10 year old|dog|florida|girl|supermarket
1000000 b.c.|box office hit|lawn mowing|product placement|stone age
1190s|archer|england|king of england|robin hood
12 step program|box office hit|car accident|vomiting|wedding
12 step program|friend|maid of honor|tears|wedding
12 year old|artist|hotel|three word title|written and directed by cast member
12 year old|boy|mexican|mexican immigrant|mexico
12 year time span|coming of age|domestic abuse|growing up|separated parents
12th century|crusader|jerusalem|knight|medieval times
13 year olds|adolescence|friend|peer pressure|teacher
13 year old|13th birthday|30 year old|wish|year 1987
14 year old|boat|bounty hunter|boy|river
14 year old|british|gadget|spy|training
14th century|king|knight|sword duel|time travel
14th century|legend|revolt|scotland|tyranny
15 year old|dancing|essex|little sister|suburb
15 year old|school|teen comedy|teen movie|virginity
1520s|aztec|indian|spanish colonization|spanish conquest
15th birthday|birthday|gay|party|security guard
15th century|cathedral|gypsy|paris|victor hugo
16 year old|doctor|hotel|tinnitus|title directed by female
16th century|bachelor|dishonor|masquerade party|wedding
16th century|battle|japan|practice|samurai
16th century|british royal family|catholic|queen|queen elizabeth i
16th century|burmese|invasion|queen|thailand
1770s|british india|great barrier reef|india|ring
17th century|adultery|letter|pubic hair|swimming
17th century|based on fairy tale|disney|flower|tower
17th century|book|death|warlock|witch hunter
17th century|girl|maid|painter|painting
17th century|king|pirate|vegetable|waiter
18 wheeler|mutant|ninja|sewer|turtle
1800s|bird|blue bird of happiness|foreign language adaptation|past
1800s|classical composer|composer|first person narration|opera
1800s|doc holliday|robbers|sheriff|texas
1800s|kazakhstan|nomad
1800s|napoleonic wars|pursuit|royal navy|ship
1810s|female protagonist|horseback riding|inheritance|three word title
1830s|baptism|intolerance|mormon church|sibling rivalry
1850s|christian film|dark secret|funeral|sin eater
1860s|children|king|schoolteacher|siam
1880s|arrow|imperial seal|murder|revenge
1880s|cowboy|low budget film|shoot out|wild west
1880s|kiss|small town|table broken in fight|wild west
1890s|hired gun|immigrant|johnson county war|sheriff
18th birthday|alternate reality|introduction|nightmare|on the run
18th birthday|birthday|community center|resurrection|teenager
18th century|ambassador|french revolution|friendship|thomas jefferson
18th century|based on novel|colonel|french and indian war|revenge
18th century|england|rise and fall|rural setting|wealth
18th century|highlands|scotland|sexual cruelty|sword fight
18th century|perfume|scent|sense of smell|smell
18th century|rags to riches|secret letter|squire|tutor
1910s|alien|artificially created woman|love|taxi driver
1910s|ambulance driver|italy|lake|nurse
1910s|desert|dunes|goat|slave
1920s|ambiguity|childhood friend|new york|speakeasy
1920s|aviation|fight|spruce goose|test flight
1920s|communist|escape from jail|newspaper|reporter
